ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2863,Xinmi urban domestic waste gas harmless treatment and comprehensive utilization project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,128568,Asia,2022-08-01,2021-08-27,2031-08-26
2864,Xuancheng Composting Project Phase I,"Xuancheng Nanyang Biotechnology Co., Ltd",Waste handling and disposal,,AMS-III.D.; AMS-III.F.,Registered,China,49546,Asia,2022-10-17,2020-07-25,2030-07-24
2853,Yufeng Adjusted Water Management in Rice Cultivation,"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59796,Asia,2022-12-07,2018-04-15,2025-04-14
2856,Wudao Adjusted Water Management in Rice Cultivation,"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,58633,Asia,2022-12-14,2018-04-16,2025-04-15
2854,Hongmei Adjusted Water Management in Rice Cultivation,"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59261,Asia,2022-12-14,2018-04-18,2025-04-17
2844,Tanghe AMMS GHG Mitigation Project,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,310169,Asia,2022-12-27,2020-10-20,2030-10-19
2845,QiDa Adjusted Water Management in Rice Cultivation,"Guizhou Zhongjian’yangchen Energy Investment Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59352,Asia,2022-12-12,2018-04-17,2025-04-16
2846,FSW AMMS GHG Mitigation Project in Nanyang City,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,364750,Asia,2022-09-29,2020-08-05,2030-08-04
2851,Xihuai Adjusted Water Management in Rice Cultivation,"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59700,Asia,2023-01-05,2018-04-16,2025-04-15
2830,Huineng Low Concentration Coal Mine Methane Utilization Project,"Beijing Yonder Environmental Energy Technology Co., Ltd","Fugitive emissions from fuels (solid, oil and gas); Mining/mineral production",,ACM0008,Registered,China,352106,Asia,2022-01-08,2013-11-04,2023-11-03
2770,Yulin Adjusted Water Management in Rice Cultivation,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59922,Asia,2023-01-05,2018-06-08,2025-06-07
2771,Futong Adjusted Water Management in Rice Cultivation,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59943,Asia,2023-01-11,2018-06-10,2025-06-09
2762,Guizhou Xintian CMM Power Generation Project,"Yonggui Energy Development Co., Ltd. Xintian Branch",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,634610,Asia,2022-10-07,2020-09-26,2030-09-25
2748,Zhangye Improved Grassland Management Project,Zhangye Academy of Forestry Sciences,Agriculture Forestry and Other Land Use,ALM,VM0026,Registered,China,736006,Asia,2022-11-03,2017-07-25,2057-07-24
2745,Wuwei City Afforestation Project in Gansu Province,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,63352,Asia,2022-12-23,2017-09-20,2077-09-19
2746,Guangzhou Eastern Solid Resource Recycling Center MSW Integrated treatment Plant Project,"Guangzhou LEO-KING Environmental Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,China,359014,Asia,2022-08-23,2020-04-01,2027-03-31
2741,Dekang AWMS GHG Mitigation Project in Guizhou Province,DEKON FOOD AND AGRICULTURE GROUP,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,427200,Asia,2022-09-01,2020-06-30,2030-06-29
2740,Dekang AWMS GHG Mitigation Project in Sichuan Province,DEKON FOOD AND AGRICULTURE GROUP,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,456897,Asia,2022-09-01,2020-06-22,2030-06-21
2731,Xuzhou Yanqun MSW Landfill Site LFG Recovery to Power Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,101798,,2022-08-15,2020-10-24,2030-10-23
2728,Huaibin MSW Landfill Site LFG Recovery and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,59196,Asia,2022-07-08,2020-04-01,2030-03-31
2706,Shuangbaotai AWMS GHG Mitigation Project in Jiangsu Province,"Shuangbaotai Animal Husbandry Group Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,150212,Asia,2022-12-16,2020-06-10,2030-06-09
2696,Zhengbang AWMS GHG Mitigation Project in Guangdong Province,Jiangxi Zhengbang Technology Co. Ltd,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,206667,Asia,2022-12-15,2020-05-20,2030-05-19
2697,Zhengbang AWMS GHG Mitigation Project in Sichuan Province,Jiangxi Zhengbang Technology Co. Ltd,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,96472,Asia,2022-12-15,2020-05-15,2030-05-14
2691,Aonong AWMS GHG Mitigation Project in Jiangxi Province,Fujian Aonong Biological Technology Group Incorporation Limited,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,432191,Asia,2022-12-27,2020-04-25,2030-04-24
2692,Aonong AWMS GHG Mitigation Project in Fujian Province,Fujian Aonong Biological Technology Group Incorporation Limited,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,451807,Asia,2023-01-11,2020-05-01,2030-04-30
2693,Yizheng Zhongxing Recycled PET Project,"Yizheng Zhongxing Environmental Protection Technology Co., Ltd.",Waste handling and disposal,,AMS-III.AJ1,Registered,China,59876,Asia,2022-08-05,2020-08-01,2027-07-31
2679,Jiyuan MSW Landfill Site LFG Recovery to Power Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,32397,Asia,2022-09-09,,
2680,Yichang Huangjiawan MSW Landfill site LFG Recovery to power project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,35795,Asia,2022-04-05,,
2659,Ruijing Geothermal Based Space Heating System,"Wanjiang New Energy Group Co., Ltd.",Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,495289,Asia,2022-10-07,2020-11-01,2030-10-31
2639,Feitian 11 & Dabatian CMM Power Generation Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,307867,Asia,2022-09-22,2021-01-02,2031-01-01
2635,Luohe Geothermal Based Space Heating System,"Wanjiang New Energy Group Co., Ltd.",Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,481744,Asia,2022-08-15,2020-11-01,2030-10-31
2629,Adjusted Water Management in Rice Cultivation in South Jiangjin District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,53462,Asia,2022-08-05,2018-05-10,2025-05-09
2630,Adjusted Water Management in Rice Cultivation in Yongchuan District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,53345,Asia,2022-09-26,2018-05-06,2025-05-05
2632,Adjusted Water Management in Rice Cultivation in Eastern Hechuan District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,52673,Asia,2022-09-28,2018-05-09,2025-05-08
2633,Adjusted Water Management in Rice Cultivation in Nanchuan District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59331,Asia,2022-08-05,2018-05-13,2025-05-12
2631,Adjusted Water Management in Rice Cultivation in Dazu District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,58902,Asia,2022-06-07,2018-05-06,2025-05-05
2634,Adjusted Water Management in Rice Cultivation in Tongnan District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59868,Asia,2022-09-28,2018-05-11,2025-05-10
2614,Lingbi County Wastewater Treatment Plant Project,"Lingbi Chenxin Green Industry Development Co., Ltd",Waste handling and disposal,,AM0080,Registered,China,67300,Asia,2022-08-02,2020-02-17,2030-02-16
2615,Jinjia Jiayi CMM Power Generation Project,"Guizhou Panjiang CBM Development&Utilization Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,129988,Asia,2022-01-31,2020-01-19,2030-01-18
2603,Composting of organic waste project in Guangxi,"Guangxi Liyuanbao Science and Technology Co., Ltd.",Waste handling and disposal,,ACM0022,Registered,China,1527835,Asia,2022-07-08,2020-01-06,2027-01-05
2606,Fujian Qingliu IFM (conversion of logged to protected forest) Project,"Fujian Qingliu Forestry Co., Ltd.",Agriculture Forestry and Other Land Use,IFM,VM0010,Registered,China,101521,Asia,2022-05-16,2017-01-01,2046-12-31
