"Vintage","Credit Status","Quantity","GSID","Project Name","Project Developer","Country","Project Type","Methodology","Programme of Activities","POA GSID","Product Type","Issuance Date","Monitoring Period Start","Monitoring Period End","Serial Number","Eligible for CORSIA?","Retired for CORSIA?","CORSIA Authorisation","Aeroplane Operator Name"
"2013","Issued","25000","5404","Qinghai Delingha Xiehe Solar PV Power Generation Project (GS3341 Conversion CER to VER)","Goldchina Consultancy International Co. Ltd","China","Solar Thermal - Electricity","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-11-15T00:00","2013-01-01","2015-06-30","GS1-1-CN-GS5404-1-2013-5405-1-25000","No","No","Not Applicable",
"2015","Issued","27893","1228","National Bachu Biomass Power Generation Project","Swiss Carbon Value Ltd.","China","Biomass, or Liquid Biofuel - Electricity","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-11-08T00:00","2015-06-28","2016-06-27","GS1-1-CN-GS1228-9-2015-5385-1-27893","No","No","Not Applicable",
"2016","Issued","27030","1228","National Bachu Biomass Power Generation Project","Swiss Carbon Value Ltd.","China","Biomass, or Liquid Biofuel - Electricity","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-11-08T00:00","2015-06-28","2016-06-27","GS1-1-CN-GS1228-9-2016-5384-1-27030","No","No","Not Applicable",
"2012","Issued","36973","2502","National Bio Energy Tongliao Biomass Power Plant","Beijing Fangzhou Jiaye Technology Co ltd","China","Biomass, or Liquid Biofuel - Electricity","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-09-27T00:00","2012-07-22","2014-08-31","GS1-1-CN-GS2502-9-2012-5296-1-36973","No","No","Not Applicable",
"2013","Issued","72023","2502","National Bio Energy Tongliao Biomass Power Plant","Beijing Fangzhou Jiaye Technology Co ltd","China","Biomass, or Liquid Biofuel - Electricity","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-09-27T00:00","2012-07-22","2014-08-31","GS1-1-CN-GS2502-9-2013-5295-1-72023","No","No","Not Applicable",
"2014","Issued","41774","2502","National Bio Energy Tongliao Biomass Power Plant","Beijing Fangzhou Jiaye Technology Co ltd","China","Biomass, or Liquid Biofuel - Electricity","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-09-27T00:00","2012-07-22","2014-08-31","GS1-1-CN-GS2502-9-2014-5294-1-41774","No","No","Not Applicable",
"2015","Issued","3919","1033","Xuyong household biogas Gold Standard VER Project","Chengdu Oasis Science & Technology Co Ltd","China","Biogas - Heat","GS Baseline and Monitoring Methodology Biodigester v1.","Standalone",,"VER","2016-09-08T00:00","2015-03-01","2016-02-29","GS1-1-CN-GS1033-4-2015-5287-1-3919","No","No","Not Applicable",
"2016","Issued","769","1033","Xuyong household biogas Gold Standard VER Project","Chengdu Oasis Science & Technology Co Ltd","China","Biogas - Heat","GS Baseline and Monitoring Methodology Biodigester v1.","Standalone",,"VER","2016-09-08T00:00","2015-03-01","2016-02-29","GS1-1-CN-GS1033-4-2016-5286-1-769","No","No","Not Applicable",
"2014","Issued","723","1097","WWF Mamize Firewood-Saving Cook Stove Project II","South Pole Carbon Asset Management Ltd.","China","Energy Efficiency - Domestic","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Standalone",,"VER","2016-08-12T00:00","2014-11-08","2015-11-07","GS1-1-CN-GS1097-21-2014-5255-1-723","No","No","Not Applicable",
"2015","Issued","4167","1097","WWF Mamize Firewood-Saving Cook Stove Project II","South Pole Carbon Asset Management Ltd.","China","Energy Efficiency - Domestic","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Standalone",,"VER","2016-08-12T00:00","2014-11-08","2015-11-07","GS1-1-CN-GS1097-21-2015-5254-1-4167","No","No","Not Applicable",
"2014","Issued","726","1096","WWF Mamize Firewood-Saving Cook Stove Project IV","South Pole Carbon Asset Management Ltd.","China","Energy Efficiency - Domestic","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Standalone",,"VER","2016-08-12T00:00","2014-11-08","2015-11-07","GS1-1-CN-GS1096-21-2014-5253-1-726","No","No","Not Applicable",
"2015","Issued","4180","1096","WWF Mamize Firewood-Saving Cook Stove Project IV","South Pole Carbon Asset Management Ltd.","China","Energy Efficiency - Domestic","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Standalone",,"VER","2016-08-12T00:00","2014-11-08","2015-11-07","GS1-1-CN-GS1096-21-2015-5252-1-4180","No","No","Not Applicable",
"2014","Issued","728","1095","WWF Mamize Firewood-Saving Cook Stove Project III","South Pole Carbon Asset Management Ltd.","China","Energy Efficiency - Domestic","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Standalone",,"VER","2016-08-12T00:00","2014-11-08","2015-11-07","GS1-1-CN-GS1095-21-2014-5251-1-728","No","No","Not Applicable",
"2015","Issued","4190","1095","WWF Mamize Firewood-Saving Cook Stove Project III","South Pole Carbon Asset Management Ltd.","China","Energy Efficiency - Domestic","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Standalone",,"VER","2016-08-12T00:00","2014-11-08","2015-11-07","GS1-1-CN-GS1095-21-2015-5250-1-4190","No","No","Not Applicable",
"2013","Issued","1219","1104","Zhongshan County Micro Hydro Project Bundle No.6","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-15T00:00","2013-07-29","2015-08-28","GS1-1-CN-GS1104-14-2013-5213-1-1219","No","No","Not Applicable",
"2014","Issued","3503","1104","Zhongshan County Micro Hydro Project Bundle No.6","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-15T00:00","2013-07-29","2015-08-28","GS1-1-CN-GS1104-14-2014-5212-1-3503","No","No","Not Applicable",
"2015","Issued","2716","1104","Zhongshan County Micro Hydro Project Bundle No.6","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-15T00:00","2013-07-29","2015-08-28","GS1-1-CN-GS1104-14-2015-5211-1-2716","No","No","Not Applicable",
"2013","Issued","1358","1103","Zhongshan County Micro Hydro Project Bundle No.5","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-15T00:00","2013-08-01","2015-08-31","GS1-1-CN-GS1103-14-2013-5210-1-1358","No","No","Not Applicable",
"2014","Issued","3809","1103","Zhongshan County Micro Hydro Project Bundle No.5","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-15T00:00","2013-08-01","2015-08-31","GS1-1-CN-GS1103-14-2014-5209-1-3809","No","No","Not Applicable",
"2015","Issued","3125","1103","Zhongshan County Micro Hydro Project Bundle No.5","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-15T00:00","2013-08-01","2015-08-31","GS1-1-CN-GS1103-14-2015-5208-1-3125","No","No","Not Applicable",
"2013","Issued","1806","1098","Zhongshan County Micro Hydro Project Bundle No.1","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-15T00:00","2013-06-29","2015-08-28","GS1-1-CN-GS1098-14-2013-5207-1-1806","No","No","Not Applicable",
"2014","Issued","4051","1098","Zhongshan County Micro Hydro Project Bundle No.1","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-15T00:00","2013-06-29","2015-08-28","GS1-1-CN-GS1098-14-2014-5206-1-4051","No","No","Not Applicable",
"2015","Issued","3313","1098","Zhongshan County Micro Hydro Project Bundle No.1","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-15T00:00","2013-06-29","2015-08-28","GS1-1-CN-GS1098-14-2015-5205-1-3313","No","No","Not Applicable",
"2015","Issued","86361","2553","Taibus Banner Touzhijian 49.5MW  Wind Power Project","Goldchina Consultancy International Co. Ltd","China","Wind","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-07-14T00:00","2015-02-01","2016-03-31","GS1-1-CN-GS2553-12-2015-5203-1-86361","No","No","Not Applicable",
"2016","Issued","26862","2553","Taibus Banner Touzhijian 49.5MW  Wind Power Project","Goldchina Consultancy International Co. Ltd","China","Wind","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-07-14T00:00","2015-02-01","2016-03-31","GS1-1-CN-GS2553-12-2016-5202-1-26862","No","No","Not Applicable",
"2014","Issued","1024","1094","WWF Mamize Firewood-Saving Cook Stove Project I","South Pole Carbon Asset Management Ltd.","China","Energy Efficiency - Domestic","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Standalone",,"VER","2016-07-14T00:00","2014-10-18","2015-10-17","GS1-1-CN-GS1094-21-2014-5201-1-1024","No","No","Not Applicable",
"2015","Issued","3959","1094","WWF Mamize Firewood-Saving Cook Stove Project I","South Pole Carbon Asset Management Ltd.","China","Energy Efficiency - Domestic","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Standalone",,"VER","2016-07-14T00:00","2014-10-18","2015-10-17","GS1-1-CN-GS1094-21-2015-5200-1-3959","No","No","Not Applicable",
"2013","Issued","1450","1100","Zhongshan County Micro Hydro Project Bundle No.2","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-04T00:00","2013-07-01","2015-08-31","GS1-1-CN-GS1100-14-2013-5128-1-1450","No","No","Not Applicable",
"2014","Issued","3334","1100","Zhongshan County Micro Hydro Project Bundle No.2","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-04T00:00","2013-07-01","2015-08-31","GS1-1-CN-GS1100-14-2014-5127-1-3334","No","No","Not Applicable",
"2015","Issued","2564","1100","Zhongshan County Micro Hydro Project Bundle No.2","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-07-04T00:00","2013-07-01","2015-08-31","GS1-1-CN-GS1100-14-2015-5126-1-2564","No","No","Not Applicable",
"2014","Issued","640","482","Longhe 1.03MW Hydro Power Project","Climate Bridge (Shanghai) Ltd.","China","Small, Low - Impact Hydro","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-06-24T00:00","2014-07-28","2016-02-09","GS1-1-CN-GS482-14-2014-5105-1-640","No","No","Not Applicable",
"2015","Issued","2646","482","Longhe 1.03MW Hydro Power Project","Climate Bridge (Shanghai) Ltd.","China","Small, Low - Impact Hydro","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-06-24T00:00","2014-07-28","2016-02-09","GS1-1-CN-GS482-14-2015-5104-1-2646","No","No","Not Applicable",
