Vintage,Credit Status,Quantity,GSID,Project Name,Project Developer,Country,Product Type,Project Type,Methodology,Programme of Activities,POA GSID,Issuance Date,Retirement Date,Monitoring Period Start,Monitoring Period End,Serial Number,Note,Eligible for CORSIA?,Retired for CORSIA?,CORSIA Authorisation,Aeroplane Operator Name
2019,Retired,3800,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/22/2022,1/10/2023,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-23504-1-3800,,No,No,Not Applicable,
2021,Retired,12499,11334,Heilongjiang Swine Farm Animal Waste Management System GHG Mitigation Project,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,China,VER,Biogas - Electricity,ACM0010 GHG emission reductions from manure management systems,Standalone,,10/12/2022,12/6/2022,12/1/2020,3/31/2022,GS1-1-CN-GS11334-5-2021-23008-773-13271,,No,No,Not Applicable,
2020,Retired,8528,1693,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-002,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,VPA,1239,8/5/2022,9/29/2022,1/1/2020,12/31/2020,GS1-1-CN-GS1693-4-2020-22791-1-8528,,No,No,Not Applicable,
2020,Retired,1473,1741,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-049,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,8/5/2022,9/29/2022,1/1/2020,12/31/2020,GS1-1-CN-GS1741-4-2020-22790-1-1473,,No,No,Not Applicable,
2019,Retired,22000,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,7/18/2022,8/29/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22723-1-22000,Retired on behalf of PwC International Limited,No,No,Not Applicable,
2016,Retired,67,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,7/15/2022,8/9/2022,1/1/2016,12/31/2016,GS1-1-CN-GS7049-4-2016-22722-1-67,"Retired on behalf of Anaïk 
(pour Kenzo :
VE 20 93195 : Trousse Homme 23750 pcs + Trousse femme 14871 : 38 crédits
VE 20 93196 : Trousse Femme 15 000 pcs : 29 crédits)",No,No,Not Applicable,
2019,Retired,3000,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,7/8/2022,7/14/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22652-1-3000,,No,No,Not Applicable,
2021,Retired,60,7433,Henan Funiushan Solar Cooker Project Phase I,Sirreon Technology & Development (Beijing) Co.Ltd,China,VER,Solar Thermal - Heat,AMS-I.C. Thermal energy production with or without electricity,Standalone,,5/13/2022,12/22/2022,1/1/2021,12/31/2021,GS1-1-CN-GS7433-3-2021-22489-1-60,Retired for Staxs The Netherlands B.V.,No,No,Not Applicable,
2019,Retired,1,2644,Yuqing Rural Methane Digesters Project in Guizhou Province.,Guizhou Honor Carbon Asset Management Co. Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,Standalone,,5/6/2022,7/4/2022,1/1/2017,12/31/2019,GS1-1-CN-GS2644-4-2019-22477-798-798,,No,No,Not Applicable,
2017,Retired,13478,2644,Yuqing Rural Methane Digesters Project in Guizhou Province.,Guizhou Honor Carbon Asset Management Co. Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,Standalone,,5/6/2022,12/23/2022,1/1/2017,12/31/2019,GS1-1-CN-GS2644-4-2017-22475-967-14444,,No,No,Not Applicable,
2021,Retired,22581,11239,Shangrao Swine Farm Animal Manure Management System GHG Mitigation Project ,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,China,VER,Biogas - Electricity,ACM0010 GHG emission reductions from manure management systems,Standalone,,4/26/2022,10/13/2022,10/1/2020,7/31/2021,GS1-1-CN-GS11239-5-2021-22457-27420-50000,Retired to safeguard against potential over-issuance from pre-approved baseline in Safe Water Supply projects GS4422 GS4423 GS4518 GS4519 GS4797 GS4798 GS5244,No,No,Not Applicable,
2021,Retired,27419,11239,Shangrao Swine Farm Animal Manure Management System GHG Mitigation Project ,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,China,VER,Biogas - Electricity,ACM0010 GHG emission reductions from manure management systems,Standalone,,4/26/2022,10/13/2022,10/1/2020,7/31/2021,GS1-1-CN-GS11239-5-2021-22457-1-27419,Retired to safeguard against potential over-issuance from pre-approved baseline in Safe Water Supply projects GS5125,No,No,Not Applicable,
2021,Retired,12235,11222,Ganzhou Swine Farm Animal Manure Management System GHG Mitigation Project,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,China,VER,Biogas - Electricity,ACM0010 GHG emission reductions from manure management systems,Standalone,,4/26/2022,7/7/2022,10/1/2020,7/31/2021,GS1-1-CN-GS11222-5-2021-22455-1-12235,Retired to safeguard against potential over-issuance from pre-approved baseline in Safe Water Supply projects GS5038 to GS5043; GS5825 to GS5827 and GS7330 to GS7336,No,No,Not Applicable,
2020,Retired,8556,3601,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-087,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,VPA,1239,4/18/2022,6/9/2022,1/1/2020,12/31/2020,GS1-1-CN-GS3601-4-2020-22446-1-8556,,No,No,Not Applicable,
2020,Retired,8504,3600,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-086,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,VPA,1239,4/18/2022,6/9/2022,1/1/2020,12/31/2020,GS1-1-CN-GS3600-4-2020-22445-1-8504,,No,No,Not Applicable,
2020,Retired,8457,3599,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-085,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,VPA,1239,4/18/2022,6/9/2022,1/1/2020,12/31/2020,GS1-1-CN-GS3599-4-2020-22444-1-8457,,No,No,Not Applicable,
2020,Retired,8528,3598,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-084,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,VPA,1239,4/18/2022,6/9/2022,1/1/2020,12/31/2020,GS1-1-CN-GS3598-4-2020-22443-1-8528,,No,No,Not Applicable,
2020,Retired,1,3597,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-083,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,VPA,1239,4/18/2022,6/9/2022,1/1/2020,12/31/2020,GS1-1-CN-GS3597-4-2020-22442-6956-6956,,No,No,Not Applicable,
2020,Retired,1000,3597,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-083,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,VPA,1239,4/18/2022,6/7/2022,1/1/2020,12/31/2020,GS1-1-CN-GS3597-4-2020-22442-5956-6955,,No,No,Not Applicable,
2020,Retired,5955,3597,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-083,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,VPA,1239,4/18/2022,6/9/2022,1/1/2020,12/31/2020,GS1-1-CN-GS3597-4-2020-22442-1-5955,,No,No,Not Applicable,
2020,Retired,500,3595,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-081,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,VPA,1239,4/18/2022,6/28/2022,1/1/2020,12/31/2020,GS1-1-CN-GS3595-4-2020-22440-980-1479,Boehringer Ingelheim Shanghai Pharmaceutical Co. Ltd. China. Carbon Offset-Scope1+2 - BISPL/China,No,No,Not Applicable,
2020,Retired,1465,1288,Sichuan Rural Poor-Household Biogas Development Programme CPA Nb. SCHHBG-2010-01,Chengdu Oasis Science & Technology Co Ltd,China,VER,"Biomass, or Liquid Biofuel - Heat",AMS-I.C. Thermal energy production with or without electricity,VPA,1239,4/13/2022,12/20/2022,1/1/2020,12/31/2020,GS1-1-CN-GS1288-8-2020-22361-107-1571,Off-set for Tailor Store,No,No,Not Applicable,
2020,Retired,106,1288,Sichuan Rural Poor-Household Biogas Development Programme CPA Nb. SCHHBG-2010-01,Chengdu Oasis Science & Technology Co Ltd,China,VER,"Biomass, or Liquid Biofuel - Heat",AMS-I.C. Thermal energy production with or without electricity,VPA,1239,4/13/2022,5/25/2022,1/1/2020,12/31/2020,GS1-1-CN-GS1288-8-2020-22361-1-106,,No,No,Not Applicable,
2020,Retired,50000,11238,Ji’an Swine Farm Animal Manure Management System GHG Mitigation Project ,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,China,VER,Biogas - Electricity,ACM0010 GHG emission reductions from manure management systems,Standalone,,3/17/2022,6/13/2022,10/1/2020,7/31/2021,GS1-1-CN-GS11238-5-2020-22330-1-50000,Off-set Stockholm Exergi - Emissions 2021,Yes,No,Not Applicable,
2019,Retired,22000,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,3/16/2022,4/1/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22326-1-22000,,No,No,Not Applicable,
2019,Retired,2700,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,4/14/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-10001-12700,,No,No,Not Applicable,
2019,Retired,136,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,9/16/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-8924-9059,Retired on behalf of Planetly GmbH #2022091201,No,No,Not Applicable,
2019,Retired,154,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,9/16/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-8770-8923,Retired on behalf of Planetly GmbH #220325_1,No,No,Not Applicable,
2019,Retired,98,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,9/16/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-8672-8769,Retired on behalf of Planetly GmbH #202207E,No,No,Not Applicable,
2019,Retired,35,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,9/16/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-8637-8671,Retired on behalf of Planetly GmbH #202204E,No,No,Not Applicable,
2019,Retired,68,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,9/16/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-8569-8636,Retired on behalf of Planetly GmbH #220313,No,No,Not Applicable,
2019,Retired,98,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,9/16/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-8471-8568,Retired on behalf of Planetly GmbH #220308,No,No,Not Applicable,
2019,Retired,4788,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,9/1/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-3683-8470,Retired on behalf of Planetly GmbH #2022081101,No,No,Not Applicable,
2019,Retired,13,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,8/15/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-3670-3682,Retired on behalf of Planetly GmbH #202207E,No,No,Not Applicable,
2019,Retired,11,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,8/15/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-3659-3669,Retired on behalf of Planetly GmbH #202205E,No,No,Not Applicable,
2019,Retired,180,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,8/15/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-3479-3658,Retired on behalf of Planetly GmbH #2705202201,No,No,Not Applicable,
2019,Retired,480,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,8/15/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-2999-3478,Retired on behalf of Planetly GmbH #20220525.1,No,No,Not Applicable,
2019,Retired,412,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,2/18/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-2587-2998,Retired by Planetly GmbH on behalf of Forto GmbH #2022021101_CCF,No,No,Not Applicable,
2019,Retired,2586,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,1/12/2022,2/14/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22216-1-2586,Retired on behalf of Planetly GmbH #2021121401,No,No,Not Applicable,
2019,Retired,408,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,10/21/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-16317-16724,,No,No,Not Applicable,
2019,Retired,315,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,9/23/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-16002-16316,,No,No,Not Applicable,
2019,Retired,420,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,8/27/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-15582-16001,,No,No,Not Applicable,
2019,Retired,1230,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,7/29/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-14352-15581,,No,No,Not Applicable,
2019,Retired,60,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,6/22/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-14292-14351,,No,No,Not Applicable,
2019,Retired,79,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,5/13/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-14213-14291,,No,No,Not Applicable,
2019,Retired,1200,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,5/13/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-13013-14212,,No,No,Not Applicable,
2019,Retired,3,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,4/18/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-13010-13012,,No,No,Not Applicable,
2019,Retired,1147,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,4/18/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-11863-13009,,No,No,Not Applicable,
2019,Retired,110,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,4/18/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-11753-11862,,No,No,Not Applicable,
2019,Retired,3812,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,3/10/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-7941-11752,,No,No,Not Applicable,
2019,Retired,871,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,3/10/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-7070-7940,,No,No,Not Applicable,
2019,Retired,5519,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,2/18/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-1551-7069,,No,No,Not Applicable,
2019,Retired,747,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,2/18/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-804-1550,,No,No,Not Applicable,
2019,Retired,469,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,1/26/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-335-803,,No,No,Not Applicable,
2019,Retired,334,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/29/2021,1/26/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22132-1-334,,No,No,Not Applicable,
2019,Retired,89962,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/22/2021,9/29/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22119-1-89962,Retired on behalf of Nespresso (Offsetting 2022),No,No,Not Applicable,
2018,Retired,24563,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/22/2021,9/29/2022,1/1/2018,12/31/2018,GS1-1-CN-GS7049-4-2018-22118-15438-40000,Retired on behalf of Nespresso (Offsetting 2022),No,No,Not Applicable,
2018,Retired,15437,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/22/2021,3/25/2022,1/1/2018,12/31/2018,GS1-1-CN-GS7049-4-2018-22118-1-15437,,No,No,Not Applicable,
2018,Retired,97,6753,CECIC HKC Danjinghe Wind Farm Project,Beijing Fangzhou Jiaye Technology Co ltd,China,VER,Wind,ACM0002 Grid-connected electricity generation from renewable sources,Standalone,,12/22/2021,1/25/2022,10/1/2018,7/31/2020,GS1-1-CN-GS6753-12-2018-22117-1-97,Retired by Gold Standard to compensate for potential over-issuance from Safe Water Supply projects identified by 2020-initiated grievance investigation. 2022 installment #1,No,No,Not Applicable,
2018,Retired,209,6753,CECIC HKC Danjinghe Wind Farm Project,Beijing Fangzhou Jiaye Technology Co ltd,China,VER,Wind,ACM0002 Grid-connected electricity generation from renewable sources,Standalone,,12/22/2021,12/22/2022,4/8/2017,9/30/2018,GS1-1-CN-GS6753-12-2018-22116-85-293,,No,No,Not Applicable,
2018,Retired,84,6753,CECIC HKC Danjinghe Wind Farm Project,Beijing Fangzhou Jiaye Technology Co ltd,China,VER,Wind,ACM0002 Grid-connected electricity generation from renewable sources,Standalone,,12/22/2021,1/25/2022,4/8/2017,9/30/2018,GS1-1-CN-GS6753-12-2018-22116-1-84,Retired by Gold Standard to compensate for potential over-issuance from Safe Water Supply projects identified by 2020-initiated grievance investigation. 2022 installment #1,No,No,Not Applicable,
2018,Retired,1000,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/6/2021,3/9/2022,1/1/2018,12/31/2018,GS1-1-CN-GS7049-4-2018-22054-13001-14000,,No,No,Not Applicable,
2018,Retired,12000,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/6/2021,2/7/2022,1/1/2018,12/31/2018,GS1-1-CN-GS7049-4-2018-22054-1001-13000,,No,No,Not Applicable,
2018,Retired,1000,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/6/2021,3/7/2022,1/1/2018,12/31/2018,GS1-1-CN-GS7049-4-2018-22054-1-1000,,No,No,Not Applicable,
2016,Retired,30000,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/6/2021,3/9/2022,1/1/2016,12/31/2016,GS1-1-CN-GS7049-4-2016-22053-13001-43000,,No,No,Not Applicable,
2016,Retired,10000,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/6/2021,3/10/2022,1/1/2016,12/31/2016,GS1-1-CN-GS7049-4-2016-22053-3001-13000,,No,No,Not Applicable,
2016,Retired,1320,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/6/2021,2/7/2022,1/1/2016,12/31/2016,GS1-1-CN-GS7049-4-2016-22053-1-1320,,No,No,Not Applicable,
2019,Retired,118,2665,Wenchang Rural Methane Digesters Project in Hainan Province,Guizhou Honor Carbon Asset Management Co. Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,Standalone,,11/30/2021,9/1/2022,1/1/2017,12/31/2019,GS1-1-CN-GS2665-4-2019-22045-31909-32026,,No,No,Not Applicable,
2019,Retired,13000,2665,Wenchang Rural Methane Digesters Project in Hainan Province,Guizhou Honor Carbon Asset Management Co. Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,Standalone,,11/30/2021,5/17/2022,1/1/2017,12/31/2019,GS1-1-CN-GS2665-4-2019-22045-909-13908,,No,No,Not Applicable,
